Year,Western Champion,Eastern Champion
1950,Minneapolis Lakers,Syracuse Nationals
1951,Rochester Royals,New York Knicks
1952,Minneapolis Lakers,New York Knicks
1953,Minneapolis Lakers,New York Knicks
1954,Minneapolis Lakers,Syracuse Nationals
1955,Fort Wayne Pistons,Syracuse Nationals
1956,Fort Wayne Pistons,Philadelphia Warriors
1957,St. Louis Hawks,Boston Celtics
1958,St. Louis Hawks,Boston Celtics
1959,Minneapolis Lakers,Boston Celtics
1960,St. Louis Hawks,Boston Celtics
1961,St. Louis Hawks,Boston Celtics
1962,Los Angeles Lakers,Boston Celtics
1963,Los Angeles Lakers,Boston Celtics
1964,San Francisco Warriors,Boston Celtics
1965,Los Angeles Lakers,Boston Celtics
1966,Los Angeles Lakers,Boston Celtics
1967,San Francisco Warriors,Philadelphia 76ers
1968,Los Angeles Lakers,Boston Celtics
1969,Los Angeles Lakers,Boston Celtics
1970,Los Angeles Lakers,New York Knicks
1971,Milwaukee Bucks,Baltimore Bullets
1972,Los Angeles Lakers,New York Knicks
1973,Los Angeles Lakers,New York Knicks
1974,Milwaukee Bucks,Boston Celtics
1975,Golden State Warriors,Washington Bullets
1976,Phoenix Suns,Boston Celtics
1977,Portland Trail Blazers,Philadelphia 76ers
1978,Seattle SuperSonics,Washington Bullets
1979,Seattle SuperSonics,Washington Bullets
1980,Los Angeles Lakers,Philadelphia 76ers
1981,Houston Rockets,Boston Celtics
1982,Los Angeles Lakers,Philadelphia 76ers
1983,Los Angeles Lakers,Philadelphia 76ers
1984,Los Angeles Lakers,Boston Celtics
1985,Los Angeles Lakers,Boston Celtics
1986,Houston Rockets,Boston Celtics
1987,Los Angeles Lakers,Boston Celtics
1988,Los Angeles Lakers,Detroit Pistons
1989,Los Angeles Lakers,Detroit Pistons
1990,Portland Trail Blazers,Detroit Pistons
1991,Los Angeles Lakers,Chicago Bulls
1992,Portland Trail Blazers,Chicago Bulls
1993,Phoenix Suns,Chicago Bulls
1994,Houston Rockets,New York Knicks
1995,Houston Rockets,Orlando Magic
1996,Seattle SuperSonics,Chicago Bulls
1997,Utah Jazz,Chicago Bulls
1998,Utah Jazz,Chicago Bulls
1999,San Antonio Spurs,New York Knicks
2000,Los Angeles Lakers,Indiana Pacers
2001,Los Angeles Lakers,Philadelphia 76ers
2002,Los Angeles Lakers,New Jersey Nets
2003,San Antonio Spurs,New Jersey Nets
2004,Los Angeles Lakers,Detroit Pistons
2005,San Antonio Spurs,Detroit Pistons
2006,Dallas Mavericks,Miami Heat
2007,San Antonio Spurs,Cleveland Cavaliers
2008,Los Angeles Lakers,Boston Celtics
2009,Los Angeles Lakers,Orlando Magic
2010,Los Angeles Lakers,Boston Celtics
2011,Dallas Mavericks,Miami Heat
2012,Oklahoma City Thunder,Miami Heat
2013,San Antonio Spurs,Miami Heat
2014,San Antonio Spurs,Miami Heat
2015,Golden State Warriors,Cleveland Cavaliers
2016,Golden State Warriors,Cleveland Cavaliers
2017,Golden State Warriors,Cleveland Cavaliers
2018,Golden State Warriors,Cleveland Cavaliers
2019,Golden State Warriors,Toronto Raptors
2020,Los Angeles Lakers,Miami Heat
