Year,MVP Name
1950,
1951,
1952,
1953,
1954,
1955,
1956,B. Pettit
1957,B. Cousy
1958,B. Russell
1959,B. Pettit
1960,W. Chamberlain
1961,B. Russell
1962,B. Russell
1963,B. Russell
1964,O. Robertson
1965,B. Russell
1966,W. Chamberlain
1967,W. Chamberlain
1968,W. Chamberlain
1969,W. Unseld
1970,W. Reed
1971,K. AJabbar
1972,K. AJabbar
1973,D. Cowens
1974,K. AJabbar
1975,B. McAdoo
1976,K. AJabbar
1977,K. A-Jabbar
1978,B. Walton
1979,M. Malone
1980,K. AJabbar
1981,J. Erving
1982,M. Malone
1983,M. Malone
1984,L. Bird
1985,L. Bird
1986,L. Bird
1987,M. Johnson
1988,M. Jordan
1989,M. Johnson
1990,M. Johnson
1991,M. Jordan
1992,M. Jordan
1993,C. Barkley
1994,H. Olajuwon
1995,D. Robinson
1996,M. Jordan
1997,K. Malone
1998,M. Jordan
1999,K. Malone
2000,S. O'Neal
2001,A. Iverson
2002,T. Duncan
2003,T. Duncan
2004,K. Garnett
2005,S. Nash
2006,S. Nash
2007,D. Nowitzki
2008,K. Bryant
2009,L. James
2010,L. James
2011,D. Rose
2012,L. James
2013,L. James
2014,K. Durant
2015,S. Curry
2016,S. Curry
2017,R. Westbrook
2018,J. Harden
2019,G. Antetokounmpo
2020,G. Antetokounmpo
