Year,NBA Vice-Champion
1950,Syracuse Nationals
1951,New York Knicks
1952,New York Knicks
1953,New York Knicks
1954,Syracuse Nationals
1955,Fort Wayne Pistons
1956,Fort Wayne Pistons
1957,St. Louis Hawks
1958,Boston Celtics
1959,Minneapolis Lakers
1960,St. Louis Hawks
1961,St. Louis Hawks
1962,Los Angeles Lakers
1963,Los Angeles Lakers
1964,San Francisco Warriors
1965,Los Angeles Lakers
1966,Los Angeles Lakers
1967,San Francisco Warriors
1968,Los Angeles Lakers
1969,Los Angeles Lakers
1970,Los Angeles Lakers
1971,Baltimore Bullets
1972,New York Knicks
1973,Los Angeles Lakers
1974,Milwaukee Bucks
1975,Washington Bullets
1976,Phoenix Suns
1977,Philadelphia 76ers
1978,Seattle SuperSonics
1979,Washington Bullets
1980,Philadelphia 76ers
1981,Houston Rockets
1982,Philadelphia 76ers
1983,Los Angeles Lakers
1984,Los Angeles Lakers
1985,Boston Celtics
1986,Houston Rockets
1987,Boston Celtics
1988,Detroit Pistons
1989,Los Angeles Lakers
1990,Portland Trail Blazers
1991,Los Angeles Lakers
1992,Portland Trail Blazers
1993,Phoenix Suns
1994,New York Knicks
1995,Orlando Magic
1996,Seattle SuperSonics
1997,Utah Jazz
1998,Utah Jazz
1999,New York Knicks
2000,Indiana Pacers
2001,Philadelphia 76ers
2002,New Jersey Nets
2003,New Jersey Nets
2004,Los Angeles Lakers
2005,Detroit Pistons
2006,Dallas Mavericks
2007,Cleveland Cavaliers
2008,Los Angeles Lakers
2009,Orlando Magic
2010,Boston Celtics
2011,Miami Heat
2012,Oklahoma City Thunder
2013,San Antonio Spurs
2014,Miami Heat
2015,Cleveland Cavaliers
2016,Golden State Warriors
2017,Cleveland Cavaliers
2018,Cleveland Cavaliers
2019,Golden State Warriors
2020,Miami Heat
